time,station,part,family,type,activity
279041989,BoxStation,PACK_1010_001843,PACK,PACK_1010,ENTER
279045009,RefurbishedBoxWarehouse,BOX_000189,BOX,BOX,EXIT
279045009,BoxStation,BOX_000189,BOX,BOX,ENTER
279049355,PackStation,PZ_1010_5933,PZ,PZ_1010,ENTER
279049587,PizzaSource,PZ_1010_5998,PZ,PZ_1010,EXIT
279049587,PizzaSource,PZ_1010_5999,PZ,PZ_1010,ENTER
279058752,Freezer,PZ_1010_5939,PZ,PZ_1010,EXIT
279058908,BoxStation,BOX_000189,BOX,BOX_1010,EXIT_AP
279066115,Freezer,PZ_1010_5981,PZ,PZ_1010,ENTER
279069305,Oven,PZ_1010_5991,PZ,PZ_1010,ENTER
279071107,Oven,PZ_1010_5985,PZ,PZ_1010,EXIT
279074884,PalletStation,BOX_000189,BOX,BOX_1010,ENTER
279089400,PackStation,PZ_1010_5934,PZ,PZ_1010,ENTER
279089523,PizzaSource,PZ_1010_5999,PZ,PZ_1010,EXIT
279089523,PizzaSource,PZ_1010_6000,PZ,PZ_1010,ENTER
279098637,Freezer,PZ_1010_5940,PZ,PZ_1010,EXIT
279105989,Freezer,PZ_1010_5982,PZ,PZ_1010,ENTER
279109283,Oven,PZ_1010_5992,PZ,PZ_1010,ENTER
279110814,Oven,PZ_1010_5986,PZ,PZ_1010,EXIT
279129494,PackStation,PZ_1010_5935,PZ,PZ_1010,ENTER
279129646,PizzaSource,PZ_1010_6000,PZ,PZ_1010,EXIT
279129646,PizzaSource,PZ_1010_6001,PZ,PZ_1010,ENTER
279138658,Freezer,PZ_1010_5941,PZ,PZ_1010,EXIT
279142684,DefectPizzaSink,PZ_1010_5985,PZ,PZ_1010,ENTER
279142684,DefectPizzaSink,PZ_1010_5985,PZ,PZ_1010,EXIT
279146017,Freezer,PZ_1010_5983,PZ,PZ_1010,ENTER
279149443,Oven,PZ_1010_5993,PZ,PZ_1010,ENTER
279151047,Oven,PZ_1010_5987,PZ,PZ_1010,EXIT
279162554,PackStation,PACK_1010_001844,PACK,PACK_1010,EXIT_AP
279169313,PackStation,PZ_1010_5936,PZ,PZ_1010,ENTER
279169761,PizzaSource,PZ_1010_6001,PZ,PZ_1010,EXIT
279169761,PizzaSource,PZ_1010_6002,PZ,PZ_1010,ENTER
279179014,Freezer,PZ_1010_5942,PZ,PZ_1010,EXIT
279185893,Freezer,PZ_1010_5984,PZ,PZ_1010,ENTER
279189330,Oven,PZ_1010_5994,PZ,PZ_1010,ENTER
279190858,Oven,PZ_1010_5988,PZ,PZ_1010,EXIT
279201754,BoxStation,PACK_1010_001844,PACK,PACK_1010,ENTER
279209149,PackStation,PZ_1010_5937,PZ,PZ_1010,ENTER
279209612,PizzaSource,PZ_1010_6002,PZ,PZ_1010,EXIT
279209612,PizzaSource,PZ_1010_6003,PZ,PZ_1010,ENTER
279218711,Freezer,PZ_1010_5943,PZ,PZ_1010,EXIT
279229331,Oven,PZ_1010_5995,PZ,PZ_1010,ENTER
279231016,Oven,PZ_1010_5989,PZ,PZ_1010,EXIT
279249470,PackStation,PZ_1010_5938,PZ,PZ_1010,ENTER
279249549,PizzaSource,PZ_1010_6003,PZ,PZ_1010,EXIT
279249549,PizzaSource,PZ_1010_6004,PZ,PZ_1010,ENTER
279258712,Freezer,PZ_1010_5944,PZ,PZ_1010,EXIT
279265853,Freezer,PZ_1010_5986,PZ,PZ_1010,ENTER
279269418,Oven,PZ_1010_5996,PZ,PZ_1010,ENTER
279271126,Oven,PZ_1010_5990,PZ,PZ_1010,EXIT
279289351,PackStation,PZ_1010_5939,PZ,PZ_1010,ENTER
279289578,PizzaSource,PZ_1010_6004,PZ,PZ_1010,EXIT
279289578,PizzaSource,PZ_1010_6005,PZ,PZ_1010,ENTER
279298720,Freezer,PZ_1010_5945,PZ,PZ_1010,EXIT
279306086,Freezer,PZ_1010_5987,PZ,PZ_1010,ENTER
279309480,Oven,PZ_1010_5997,PZ,PZ_1010,ENTER
279310957,Oven,PZ_1010_5991,PZ,PZ_1010,EXIT
279322811,PackStation,PACK_1010_001845,PACK,PACK_1010,EXIT_AP
279329237,PackStation,PZ_1010_5940,PZ,PZ_1010,ENTER
279329547,PizzaSource,PZ_1010_6005,PZ,PZ_1010,EXIT
279329547,PizzaSource,PZ_1010_6006,PZ,PZ_1010,ENTER
279338727,Freezer,PZ_1010_5946,PZ,PZ_1010,EXIT
279345897,Freezer,PZ_1010_5988,PZ,PZ_1010,ENTER
279349306,Oven,PZ_1010_5998,PZ,PZ_1010,ENTER
279350936,Oven,PZ_1010_5992,PZ,PZ_1010,EXIT
279362011,BoxStation,PACK_1010_001845,PACK,PACK_1010,ENTER
279369258,PackStation,PZ_1010_5941,PZ,PZ_1010,ENTER
279369605,PizzaSource,PZ_1010_6006,PZ,PZ_1010,EXIT
279369605,PizzaSource,PZ_1010_6007,PZ,PZ_1010,ENTER
279378717,Freezer,PZ_1010_5947,PZ,PZ_1010,EXIT
279386055,Freezer,PZ_1010_5989,PZ,PZ_1010,ENTER
279389241,Oven,PZ_1010_5999,PZ,PZ_1010,ENTER
279391096,Oven,PZ_1010_5993,PZ,PZ_1010,EXIT
279409587,PizzaSource,PZ_1010_6007,PZ,PZ_1010,EXIT
279409587,PizzaSource,PZ_1010_6008,PZ,PZ_1010,ENTER
