time,unit,station,part,family,type,activity
1670620,ms,Oven,PZ_1030_768,PZ,PZ_1030,EXIT
1670700,ms,Freezer,PZ_1030_766,PZ,PZ_1030,ENTER
1671020,ms,Freezer,PZ_1030_757,PZ,PZ_1030,EXIT
1671180,ms,PizzaSource,PZ_1030_771,PZ,PZ_1030,EXIT
1671180,ms,PizzaSource,PZ_1030_772,PZ,PZ_1030,ENTER
1672210,ms,Oven,PZ_1030_770,PZ,PZ_1030,ENTER
1672630,ms,Oven,PZ_1030_769,PZ,PZ_1030,EXIT
1672700,ms,Freezer,PZ_1030_768,PZ,PZ_1030,ENTER
1672990,ms,Freezer,PZ_1030_758,PZ,PZ_1030,EXIT
1673140,ms,PizzaSource,PZ_1030_772,PZ,PZ_1030,EXIT
1673140,ms,PizzaSource,PZ_1030_774,PZ,PZ_1030,ENTER
1673720,ms,PackStation,PACK_1030_000179,PACK,PACK_1030,EXIT_AP
1674180,ms,Oven,PZ_1030_771,PZ,PZ_1030,ENTER
1674430,ms,PackStation,PZ_1030_755,PZ,PZ_1030,ENTER
1674550,ms,PackStation,PZ_1030_756,PZ,PZ_1030,ENTER
1674630,ms,Oven,PZ_1030_770,PZ,PZ_1030,EXIT
1674710,ms,Freezer,PZ_1030_769,PZ,PZ_1030,ENTER
1674720,ms,PackStation,PZ_1030_757,PZ,PZ_1030,ENTER
1674950,ms,Freezer,PZ_1030_759,PZ,PZ_1030,EXIT
1675150,ms,PizzaSource,PZ_1030_774,PZ,PZ_1030,EXIT
1675150,ms,PizzaSource,PZ_1030_775,PZ,PZ_1030,ENTER
1675650,ms,PackStation,PZ_1030_758,PZ,PZ_1030,ENTER
1676130,ms,Oven,PZ_1030_772,PZ,PZ_1030,ENTER
1676600,ms,Oven,PZ_1030_771,PZ,PZ_1030,EXIT
1676710,ms,Freezer,PZ_1030_770,PZ,PZ_1030,ENTER
1676990,ms,Freezer,PZ_1030_760,PZ,PZ_1030,EXIT
1677160,ms,PizzaSource,PZ_1030_775,PZ,PZ_1030,EXIT
1677160,ms,PizzaSource,PZ_1030_776,PZ,PZ_1030,ENTER
1678040,ms,BoxStation,PACK_1030_000179,PACK,PACK_1030,ENTER
1678150,ms,Oven,PZ_1030_774,PZ,PZ_1030,ENTER
1678550,ms,Oven,PZ_1030_772,PZ,PZ_1030,EXIT
1678680,ms,Freezer,PZ_1030_771,PZ,PZ_1030,ENTER
1678990,ms,Freezer,PZ_1030_761,PZ,PZ_1030,EXIT
1679110,ms,PizzaSource,PZ_1030_776,PZ,PZ_1030,EXIT
1679110,ms,PizzaSource,PZ_1030_778,PZ,PZ_1030,ENTER
1680160,ms,Oven,PZ_1030_775,PZ,PZ_1030,ENTER
1680570,ms,Oven,PZ_1030_774,PZ,PZ_1030,EXIT
1680630,ms,Freezer,PZ_1030_772,PZ,PZ_1030,ENTER
1681020,ms,Freezer,PZ_1030_763,PZ,PZ_1030,EXIT
1681150,ms,PizzaSource,PZ_1030_778,PZ,PZ_1030,EXIT
1681150,ms,PizzaSource,PZ_1030_779,PZ,PZ_1030,ENTER
